A1JQI98NY1RMNS, 0, 1491852088902, blicket, triangle, small, blue, not_striped, 
A1JQI98NY1RMNS, 3, 1491852103774, stimulus, square, big, red, striped, , N, 1710
A1JQI98NY1RMNS, 4, 1491852105284, stimulus, square, small, blue, striped, , N, 1495
A1JQI98NY1RMNS, 5, 1491852107133, stimulus, triangle, big, blue, striped, , Y, 1831
A1JQI98NY1RMNS, 6, 1491852110168, stimulus, triangle, big, red, not_striped, , Y, 3020
A1JQI98NY1RMNS, 7, 1491852111022, stimulus, triangle, small, blue, striped, , Y, 849
A1JQI98NY1RMNS, 8, 1491852112034, stimulus, triangle, big, red, striped, , Y, 998
A1JQI98NY1RMNS, 9, 1491852113021, stimulus, triangle, small, red, not_striped, , Y, 987
A1JQI98NY1RMNS, 10, 1491852113701, stimulus, square, big, red, not_striped, , N, 665
A1JQI98NY1RMNS, 11, 1491852114275, stimulus, triangle, small, blue, not_striped, , Y, 559
A1JQI98NY1RMNS, 12, 1491852115436, stimulus, square, small, blue, not_striped, , N, 1145
A1JQI98NY1RMNS, 13, 1491852115972, stimulus, square, small, red, not_striped, , N, 528
A1JQI98NY1RMNS, 14, 1491852116584, stimulus, square, big, blue, not_striped, , N, 605
A1JQI98NY1RMNS, 15, 1491852117441, stimulus, square, small, red, striped, , N, 844
A1JQI98NY1RMNS, 16, 1491852118016, stimulus, triangle, big, blue, not_striped, , Y, 565
A1JQI98NY1RMNS, 17, 1491852118521, stimulus, triangle, small, red, striped, , Y, 493
A1JQI98NY1RMNS, 18, 1491852129467, Response, a triangle
A10O5YR01H865K, 0, 1491852195027, blicket, triangle, small, blue, not_striped, 
A10O5YR01H865K, 3, 1491852211835, stimulus, triangle, big, blue, striped, , Y, 3419
A10O5YR01H865K, 4, 1491852214771, stimulus, triangle, small, red, striped, , N, 2929
A10O5YR01H865K, 5, 1491852217907, stimulus, square, big, blue, not_striped, , N, 3133
A10O5YR01H865K, 6, 1491852219499, stimulus, square, big, red, not_striped, , N, 1589
A10O5YR01H865K, 7, 1491852220819, stimulus, triangle, small, red, not_striped, , Y, 1318
A10O5YR01H865K, 8, 1491852221971, stimulus, square, small, blue, not_striped, , N, 1149
A10O5YR01H865K, 9, 1491852222555, stimulus, square, big, blue, striped, , N, 578
A10O5YR01H865K, 10, 1491852224283, stimulus, triangle, small, blue, striped, , Y, 1722
A10O5YR01H865K, 11, 1491852224979, stimulus, square, small, red, striped, , N, 690
A10O5YR01H865K, 12, 1491852226195, stimulus, triangle, small, blue, not_striped, , Y, 1212
A10O5YR01H865K, 13, 1491852226691, stimulus, square, small, red, not_striped, , N, 494
A10O5YR01H865K, 14, 1491852227267, stimulus, triangle, big, red, striped, , Y, 570
A10O5YR01H865K, 15, 1491852227939, stimulus, square, big, red, striped, , Y, 667
A10O5YR01H865K, 16, 1491852228931, stimulus, triangle, big, red, not_striped, , Y, 990
A10O5YR01H865K, 17, 1491852229500, stimulus, square, small, blue, striped, , N, 563
A10O5YR01H865K, 18, 1491852245179, Response, being a blicket is being a triangle
A3GK90X2QOFR53, 0, 1491852832960, blicket, triangle, small, blue, striped, 
A1ALBJU1XOKYFH, 0, 1491853049615, blicket, triangle, big, red, striped, 
A1ALBJU1XOKYFH, 3, 1491853070441, stimulus, triangle, small, blue, not_striped, , N, 2278
A1ALBJU1XOKYFH, 4, 1491853072033, stimulus, square, small, blue, striped, , N, 1590
A1ALBJU1XOKYFH, 5, 1491853072746, stimulus, square, big, blue, not_striped, , N, 711
A1ALBJU1XOKYFH, 6, 1491853074481, stimulus, triangle, big, blue, striped, , Y, 1734
A1ALBJU1XOKYFH, 7, 1491853075481, stimulus, square, big, red, striped, , N, 999
A1ALBJU1XOKYFH, 8, 1491853076089, stimulus, square, small, blue, not_striped, , N, 607
A1ALBJU1XOKYFH, 9, 1491853077201, stimulus, triangle, small, red, not_striped, , N, 1111
A1ALBJU1XOKYFH, 10, 1491853078529, stimulus, square, big, red, not_striped, , N, 1327
A1ALBJU1XOKYFH, 11, 1491853080073, stimulus, square, small, red, striped, , N, 1543
A1ALBJU1XOKYFH, 12, 1491853080746, stimulus, triangle, big, red, not_striped, , N, 672
A1ALBJU1XOKYFH, 13, 1491853081289, stimulus, square, small, red, not_striped, , N, 543
A1ALBJU1XOKYFH, 14, 1491853081802, stimulus, triangle, small, red, striped, , Y, 511
A1ALBJU1XOKYFH, 15, 1491853082385, stimulus, triangle, small, blue, striped, , Y, 582
A1ALBJU1XOKYFH, 16, 1491853082922, stimulus, triangle, big, blue, not_striped, , N, 536
A1ALBJU1XOKYFH, 17, 1491853083497, stimulus, triangle, big, red, striped, , Y, 574
A1ALBJU1XOKYFH, 18, 1491853100039, Response, be a triangle and have stripes
ACSS93E03ZUGX, 0, 1491853420146, blicket, triangle, big, red, not_striped, 
ACSS93E03ZUGX, 3, 1491853432929, stimulus, square, small, blue, not_striped, , N, 1676
ACSS93E03ZUGX, 4, 1491853433617, stimulus, square, big, blue, striped, , N, 683
ACSS93E03ZUGX, 5, 1491853434721, stimulus, triangle, big, blue, not_striped, , Y, 1103
ACSS93E03ZUGX, 6, 1491853435617, stimulus, triangle, big, red, not_striped, , Y, 895
ACSS93E03ZUGX, 7, 1491853436433, stimulus, triangle, small, blue, not_striped, , Y, 815
ACSS93E03ZUGX, 8, 1491853437153, stimulus, square, small, red, not_striped, , N, 719
ACSS93E03ZUGX, 9, 1491853438049, stimulus, square, big, blue, not_striped, , N, 895
